:Data_list: ./hp_from_aepower_from_ae_20021221_to_20021221.txt
:Created: Fri Apr 10 15:50:50 UTC 2026
# This file is created to replicate NOAA HPI files created before 2013.
# Please use with caution as Sat number, hemisphere, activity level, and normalizing factors are placeholders.
#
# Source: AE or SME index.
# Units: gigawatts

# Format:

# Each line is formatted as in this example:

# 2006-09-05 00:54:25 NOAA-16 (S)  7  29.67   0.82

# A19   Date and UT at the center of the polar pass as YYYY-MM-DD hh:mm:ss
# 1X    (Space)
# A7    NOAA POES Satellite number
# 1X    (Space)
# A3    (S) or (N) - hemisphere
# I3    Hemispheric Power Index (activity level)
# F7.2  Estimated Hemispheric Power in gigawatts
# F7.2  Normalizing factor

2002-12-21 00:00:00 NOAA-17 (N)  6  74.84   0.75
2002-12-21 00:01:00 NOAA-17 (N)  6  72.19   0.75
2002-12-21 00:02:00 NOAA-17 (N)  6  72.60   0.75
2002-12-21 00:03:00 NOAA-17 (N)  6  72.70   0.75
2002-12-21 00:04:00 NOAA-17 (N)  6  73.01   0.75
2002-12-21 00:05:00 NOAA-17 (N)  6  72.19   0.75
2002-12-21 00:06:00 NOAA-17 (N)  6  74.13   0.75
2002-12-21 00:07:00 NOAA-17 (N)  6  75.25   0.75
2002-12-21 00:08:00 NOAA-17 (N)  6  76.99   0.75
2002-12-21 00:09:00 NOAA-17 (N)  6  76.27   0.75
2002-12-21 00:10:00 NOAA-17 (N)  6  67.81   0.75
2002-12-21 00:11:00 NOAA-17 (N)  6  63.01   0.75
2002-12-21 00:12:00 NOAA-17 (N)  6  65.56   0.75
2002-12-21 00:13:00 NOAA-17 (N)  6  72.40   0.75
2002-12-21 00:14:00 NOAA-17 (N)  6  70.05   0.75
2002-12-21 00:15:00 NOAA-17 (N)  6  68.01   0.75
2002-12-21 00:16:00 NOAA-17 (N)  6  69.23   0.75
2002-12-21 00:17:00 NOAA-17 (N)  6  75.86   0.75
2002-12-21 00:18:00 NOAA-17 (N)  6  78.82   0.75
2002-12-21 00:19:00 NOAA-17 (N)  6  78.72   0.75
2002-12-21 00:20:00 NOAA-17 (N)  6  75.15   0.75
2002-12-21 00:21:00 NOAA-17 (N)  6  73.42   0.75
2002-12-21 00:22:00 NOAA-17 (N)  6  73.93   0.75
2002-12-21 00:23:00 NOAA-17 (N)  6  72.80   0.75
2002-12-21 00:24:00 NOAA-17 (N)  6  74.33   0.75
2002-12-21 00:25:00 NOAA-17 (N)  6  74.64   0.75
2002-12-21 00:26:00 NOAA-17 (N)  6  74.23   0.75
2002-12-21 00:27:00 NOAA-17 (N)  6  71.27   0.75
2002-12-21 00:28:00 NOAA-17 (N)  6  68.62   0.75
2002-12-21 00:29:00 NOAA-17 (N)  6  67.19   0.75
2002-12-21 00:30:00 NOAA-17 (N)  6  66.58   0.75
2002-12-21 00:31:00 NOAA-17 (N)  6  65.66   0.75
2002-12-21 00:32:00 NOAA-17 (N)  6  64.75   0.75
2002-12-21 00:33:00 NOAA-17 (N)  6  65.05   0.75
2002-12-21 00:34:00 NOAA-17 (N)  6  65.05   0.75
2002-12-21 00:35:00 NOAA-17 (N)  6  65.56   0.75
2002-12-21 00:36:00 NOAA-17 (N)  6  68.83   0.75
2002-12-21 00:37:00 NOAA-17 (N)  6  68.21   0.75
2002-12-21 00:38:00 NOAA-17 (N)  6  68.32   0.75
2002-12-21 00:39:00 NOAA-17 (N)  6  65.36   0.75
2002-12-21 00:40:00 NOAA-17 (N)  6  64.34   0.75
2002-12-21 00:41:00 NOAA-17 (N)  6  65.56   0.75
2002-12-21 00:42:00 NOAA-17 (N)  6  65.46   0.75
2002-12-21 00:43:00 NOAA-17 (N)  6  65.36   0.75
2002-12-21 00:44:00 NOAA-17 (N)  6  65.05   0.75
2002-12-21 00:45:00 NOAA-17 (N)  6  64.64   0.75
2002-12-21 00:46:00 NOAA-17 (N)  6  64.03   0.75
2002-12-21 00:47:00 NOAA-17 (N)  6  63.52   0.75
2002-12-21 00:48:00 NOAA-17 (N)  6  63.42   0.75
2002-12-21 00:49:00 NOAA-17 (N)  6  64.95   0.75
2002-12-21 00:50:00 NOAA-17 (N)  6  65.46   0.75
2002-12-21 00:51:00 NOAA-17 (N)  6  65.16   0.75
2002-12-21 00:52:00 NOAA-17 (N)  6  63.93   0.75
2002-12-21 00:53:00 NOAA-17 (N)  6  65.16   0.75
2002-12-21 00:54:00 NOAA-17 (N)  6  59.44   0.75
2002-12-21 00:55:00 NOAA-17 (N)  6  57.40   0.75
2002-12-21 00:56:00 NOAA-17 (N)  6  71.07   0.75
2002-12-21 00:57:00 NOAA-17 (N)  6  84.33   0.75
2002-12-21 00:58:00 NOAA-17 (N)  6  94.53   0.75
2002-12-21 00:59:00 NOAA-17 (N)  6 103.61   0.75
2002-12-21 01:00:00 NOAA-17 (N)  6 100.24   0.75
2002-12-21 01:01:00 NOAA-17 (N)  6  93.51   0.75
2002-12-21 01:02:00 NOAA-17 (N)  6  84.23   0.75
2002-12-21 01:03:00 NOAA-17 (N)  6  77.60   0.75
2002-12-21 01:04:00 NOAA-17 (N)  6  64.75   0.75
2002-12-21 01:05:00 NOAA-17 (N)  6  64.03   0.75
2002-12-21 01:06:00 NOAA-17 (N)  6  64.13   0.75
2002-12-21 01:07:00 NOAA-17 (N)  6  64.85   0.75
2002-12-21 01:08:00 NOAA-17 (N)  6  65.97   0.75
2002-12-21 01:09:00 NOAA-17 (N)  6  67.09   0.75
2002-12-21 01:10:00 NOAA-17 (N)  6  66.28   0.75
2002-12-21 01:11:00 NOAA-17 (N)  6  64.03   0.75
2002-12-21 01:12:00 NOAA-17 (N)  6  61.08   0.75
2002-12-21 01:13:00 NOAA-17 (N)  6  56.89   0.75
2002-12-21 01:14:00 NOAA-17 (N)  6  53.53   0.75
2002-12-21 01:15:00 NOAA-17 (N)  6  51.08   0.75
2002-12-21 01:16:00 NOAA-17 (N)  6  50.67   0.75
2002-12-21 01:17:00 NOAA-17 (N)  6  50.77   0.75
2002-12-21 01:18:00 NOAA-17 (N)  6  52.61   0.75
2002-12-21 01:19:00 NOAA-17 (N)  6  54.55   0.75
2002-12-21 01:20:00 NOAA-17 (N)  6  60.97   0.75
2002-12-21 01:21:00 NOAA-17 (N)  6  63.42   0.75
2002-12-21 01:22:00 NOAA-17 (N)  6  62.40   0.75
2002-12-21 01:23:00 NOAA-17 (N)  6  61.58   0.75
2002-12-21 01:24:00 NOAA-17 (N)  6  60.67   0.75
2002-12-21 01:25:00 NOAA-17 (N)  6  59.44   0.75
2002-12-21 01:26:00 NOAA-17 (N)  6  55.87   0.75
2002-12-21 01:27:00 NOAA-17 (N)  6  53.12   0.75
2002-12-21 01:28:00 NOAA-17 (N)  6  49.24   0.75
2002-12-21 01:29:00 NOAA-17 (N)  6  53.32   0.75
2002-12-21 01:30:00 NOAA-17 (N)  6  61.48   0.75
2002-12-21 01:31:00 NOAA-17 (N)  6  67.19   0.75
2002-12-21 01:32:00 NOAA-17 (N)  6  70.15   0.75
2002-12-21 01:33:00 NOAA-17 (N)  6  64.03   0.75
2002-12-21 01:34:00 NOAA-17 (N)  6  67.50   0.75
2002-12-21 01:35:00 NOAA-17 (N)  6  62.60   0.75
2002-12-21 01:36:00 NOAA-17 (N)  6  65.66   0.75
